Size,MergeSort,Hybrid5,Hybrid30
28600,6151,4751,3941
28700,6046,4680,3971
28800,6347,4876,3966
28900,6206,4731,4149
29000,6177,4848,4157
29100,6203,4798,4082
29200,6275,4905,4063
29300,6407,4806,4072
29400,6329,4903,4081
29500,6352,4857,4211
29600,6432,4906,4146
29700,6367,4871,4173
29800,6585,5007,4234
29900,6683,4993,4193
30000,6772,5051,4251
30100,7005,4952,4239
30200,6547,5018,4315
30300,6534,5001,4259
30400,6888,5395,4420
30500,6693,4992,4281
30600,6616,5168,4387
30700,6664,4974,4303
30800,6696,5156,4391
30900,6610,5111,4348
31000,6949,5145,4396
31100,7503,5173,4470
31200,7158,5268,4612
31300,6733,5363,4609
31400,6822,5148,4478
31500,6749,5265,4536
31600,6935,5185,4513
31700,6734,5207,4502
31800,6882,5267,4503
31900,6896,5152,4586
32000,7099,5208,4562
32100,6909,5118,4504
32200,6849,5439,4960
32300,7062,5213,4639
32400,7041,5350,4654
32500,6935,5232,4709
32600,7125,5329,4618
32700,7002,5279,4593
32800,7173,5322,4751
32900,6987,5347,4611
33000,7234,5359,4646
33100,7243,5323,4721
33200,7288,5342,4638
33300,7188,5453,4653
33400,7231,5536,4717
33500,7178,5505,4819
33600,7327,5684,4792
33700,7258,5544,4771
33800,7587,5630,4792
33900,7325,5516,4798
34000,7423,5614,4815
34100,7492,5722,4833
34200,7377,5703,4862
34300,7652,5872,5020
34400,7450,5766,4855
34500,7362,5764,4914
34600,7482,5743,4885
34700,7426,5900,4904
34800,7688,5856,4914
34900,7481,5862,5047
35000,7673,5891,5005
35100,7604,5909,5015
35200,7614,5948,5034
35300,7675,5983,4985
35400,8350,7158,5660
35500,7834,6169,5331
35600,7885,6197,5164
35700,7992,6069,5135
35800,7782,6107,5057
35900,7735,6110,5282
36000,8039,6147,5213
36100,7808,6237,5108
36200,8006,6317,5235
36300,7905,6168,5137
36400,8096,6283,5296
36500,7939,6212,5187
36600,7994,6188,5198
36700,9865,6265,5237
36800,8133,6368,5272
36900,8000,6391,5259
37000,8089,6387,5255
37100,8013,6428,5246
37200,8176,6442,5351
37300,8060,6403,5338
37400,8223,6545,5347
37500,8112,6505,5539
37600,8241,6633,5345
37700,8194,6489,5392
37800,8222,6562,5380
37900,8477,6677,5509
38000,8351,6770,5411
38100,8277,6616,5338
38200,8304,6680,5502
38300,8317,6643,5544
38400,8492,6727,5495
38500,8405,6711,5566
38600,8346,6842,5561
38700,8433,6924,5558
38800,8358,6756,5472
38900,8487,6803,5564
39000,8643,6851,5586
39100,8552,6793,5624
39200,9767,7639,5689
39300,8690,7129,5784
39400,8552,7087,5619
39500,8611,7100,5700
39600,8767,6987,5620
39700,8613,7051,5650
39800,8768,7119,5808
39900,8627,7061,5645
40000,8730,7109,5778
40100,8766,7024,5696
40200,8836,7126,5834
40300,8796,7099,5749
40400,8839,7209,5787
40500,8721,7215,5745
40600,8890,7315,5772
40700,8830,7319,5910
40800,8911,7123,5765
40900,8878,7203,5814
41000,9021,7274,6009
41100,8962,7370,5896
41200,10676,7287,5851
41300,9066,7357,6197
41400,9487,7382,5964
41500,8955,7389,6074
41600,9006,7487,5956
41700,9055,7399,5965
41800,9112,7454,7032
41900,9125,7438,6207
42000,9097,7366,6707
42100,9157,7423,6040
42200,9162,7532,6183
42300,9325,7487,6130
42400,9416,7734,6207
42500,9221,7486,6392
42600,10423,7652,6440
42700,9505,7639,6228
42800,9395,7659,6155
42900,9333,7819,6350
43000,9364,7767,6242
43100,9409,7571,6271
43200,9404,7580,6179
43300,9756,7790,6714
43400,9388,7698,6267
43500,9498,7746,6355
43600,9423,7804,6354
43700,9554,7939,8430
43800,9630,7767,6225
43900,10603,8205,7139
44000,9649,7685,6244
44100,9700,8063,6365
44200,9726,7819,6400
44300,10049,7818,6472
44400,9645,7823,6384
44500,10096,7933,6436
44600,9950,7991,6471
44700,9807,7761,6347
44800,9980,7866,6435
44900,9834,8031,6905
45000,10036,8107,6472
45100,9835,8225,6891
45200,10014,7790,6515
45300,9922,9776,6644
45400,10020,8155,6545
45500,10018,8101,6771
45600,10065,8066,6577
45700,15273,9058,7356
45800,9977,8176,6588
45900,10048,8123,6819
46000,10087,8166,6658
46100,10108,8102,6885
46200,10168,8151,6675
46300,10138,8203,6623
46400,10147,8272,6730
46500,10257,8485,6862
46600,10287,8255,6746
46700,10269,8351,6865
46800,10127,8272,6675
46900,10508,8207,6901
47000,10266,8445,6907
47100,10359,8297,6982
47200,10329,8243,6901
47300,10418,8359,6950
47400,10350,8323,6801
47500,10727,8568,7032
47600,10487,8475,6889
47700,10540,8524,7007
47800,10500,8451,6923
47900,10557,8491,7000
48000,10407,8528,6876
48100,10509,8507,6934
48200,10575,8453,6939
48300,10650,8557,7078
48400,10596,8445,7041
48500,10617,9846,7013
48600,10491,8576,7362
48700,10844,8664,7187
48800,10635,8554,7002
48900,10654,8472,7077
49000,10735,8570,7064
49100,10671,8555,7256
49200,11047,8750,7256
49300,10726,8762,7123
49400,10762,8544,7055
49500,10819,8564,7285
49600,10925,8810,7233
49700,11180,8826,7340
49800,10967,8756,7121
49900,11058,8687,7335
50000,11020,8860,7230
50100,10967,8754,7203
50200,11071,9038,7510
50300,11213,9151,7343
50400,11111,8934,7491
50500,11181,8859,7363
50600,10990,8976,7325
50700,11164,8913,7379
50800,11322,8985,7393
50900,11446,9113,7391
51000,11428,9068,7409
51100,11219,8958,7703
51200,11382,9128,7588
51300,11272,9767,7452
51400,11537,9349,7723
51500,11441,9205,7647
51600,11261,9194,7578
51700,11363,9287,7568
51800,11448,9069,7727
51900,11436,9831,8591
52000,11575,9138,7538
52100,14313,9303,7759
52200,11527,9296,7641
52300,11649,9373,7686
52400,11651,9098,8006
52500,11874,9591,7818
52600,11650,9977,7933
52700,11889,9457,7832
52800,11821,9419,7758
52900,12074,9365,7890
53000,12010,9567,7846
53100,12048,9498,7800
53200,11932,9584,7841
53300,11953,9524,7804
53400,11854,9689,7950
53500,12048,9551,7905
53600,11880,9647,8006
53700,12114,9522,7914
53800,11785,9340,7806
53900,11864,9782,7755
54000,11861,9191,7767
54100,12372,9757,7921
54200,11948,9555,7848
54300,11951,9430,7973
54400,12329,9531,7909
54500,11998,9267,7782
54600,11917,9714,7981
54700,12236,9652,8105
54800,12367,9579,8067
54900,12257,9760,7945
55000,12378,9599,7936
55100,12208,9704,8005
55200,12129,9699,7993
55300,12272,9691,8037
55400,12201,9721,8055
55500,12623,9579,7970
55600,12298,10047,8083
55700,12234,9695,8049
55800,12533,9634,8096
55900,12556,9797,8184
56000,12508,9653,8082
56100,13022,9814,8207
56200,12488,9708,8179
56300,12759,9743,8233
56400,12473,9929,8211
56500,12685,9866,8567
56600,14089,9826,8387
56700,12756,9676,8281
56800,12942,9798,8320
56900,12627,9939,8321
57000,13113,9876,8386
57100,12978,10098,8453
57200,13539,10069,8423
57300,12933,9961,8569
57400,12924,9960,8432
57500,12684,9760,8329
57600,13420,9979,8539
57700,12791,10000,8554
57800,12965,10211,8648
57900,13199,10137,8551
58000,12804,10038,9641
58100,12881,10124,8593
58200,13285,10209,8961
58300,12940,10141,8702
58400,13202,10364,8801
58500,12930,10135,8621
58600,13169,10184,8513
58700,13091,10228,8839
58800,13050,10309,8665
58900,13212,10213,8713
59000,14769,11232,8831
59100,13439,10381,8782
59200,13198,10142,8759
59300,13338,10381,8781
59400,13586,10491,8683
59500,13337,10253,8688
59600,13175,10497,8780
59700,13206,10433,8725
59800,13374,10435,8737
59900,13436,10372,8737
60000,13526,10461,8777
60100,13584,10455,8838
60200,13703,10467,8850
60300,13946,10638,8918
60400,13502,10401,8933
60500,13633,10652,8930
60600,13598,10662,8900
60700,13528,10549,8966
60800,13516,10423,9021
60900,13714,10704,9017
61000,13639,10504,9008
61100,13661,10628,9128
61200,13663,10502,9134
61300,19780,11734,10048
61400,13942,10648,9287
61500,13677,10616,9160
61600,13843,10761,9306
61700,14601,10936,9485
61800,13790,10634,9389
61900,14104,10942,9459
62000,14021,10855,9742
62100,14165,11058,9498
62200,14264,10886,9512
62300,14073,10817,9468
62400,14264,10807,9712
62500,13978,10936,9391
62600,13950,10768,9334
62700,14124,10795,9319
62800,14002,10774,9720
62900,14035,11009,9565
63000,14043,10804,9393
63100,13955,10843,9413
63200,14334,10786,9505
63300,14261,11136,9392
63400,14198,11123,9750
63500,14314,12265,10736
63600,14475,10920,9535
63700,14260,10859,9443
63800,14385,11067,9567
63900,14517,11238,9755
64000,14532,11118,9688
64100,14503,11103,9822
64200,14970,11235,9735
64300,14580,11329,9654
64400,14233,11181,9662
64500,14334,11161,9759
64600,14681,11325,9796
64700,14571,11179,9858
64800,14526,11159,9733
64900,14435,11131,9666
65000,14906,11216,10051
65100,14788,11290,9701
65200,14393,11138,12186
65300,15059,11497,10104
65400,14840,11177,9770
65500,14892,11258,9839
65600,14848,11650,9984
65700,14982,11487,10020
65800,14899,11623,10183
65900,15371,11288,9925
66000,14986,11906,10123
66100,15322,11644,10172
66200,15011,11579,10211
66300,15138,11575,10113
66400,14955,11697,10239
66500,15194,11852,10265
66600,14953,11742,10095
66700,15195,11717,10217
66800,15025,11500,10186
66900,15222,11919,10380
67000,15188,11784,10314
67100,15392,11852,10396
67200,15155,11996,10153
67300,15191,11898,10374
67400,15077,11775,10118
67500,15175,11643,10129
67600,15074,11640,10028
67700,15230,14835,11420
67800,15468,11991,10219
67900,15256,11752,10580
68000,15418,12052,10356
68100,15237,11988,10286
68200,15582,11940,10346
68300,15575,12080,10419
68400,15319,12058,10366
68500,15613,12213,10372
68600,15571,12621,10217
68700,15761,12307,10568
68800,15654,12176,10388
68900,15429,12080,10367
69000,15613,12208,10345
69100,15669,12396,10644
69200,15775,12392,10538
69300,15539,12189,10393
69400,15607,12156,10472
69500,15605,12129,10619
69600,15674,12131,10438
69700,16035,13738,11416
69800,15725,12307,10480
69900,15870,12393,10481
70000,15758,12338,10672
70100,15888,12756,10730
70200,15821,12374,10441
70300,15848,12510,10584
70400,15789,12587,10481
70500,15890,12521,10524
70600,15861,12528,10533
70700,16210,12554,10520
70800,16018,12446,10596
70900,15957,12446,10785
71000,16388,12438,10647
