Size,MergeSort,Hybrid5,Hybrid30
29500,4320,2790,2474
29600,4216,2742,2453
29700,4328,2724,2528
29800,4278,2835,2574
29900,4261,2747,2450
30000,4364,2826,2444
30100,4387,2806,2483
30200,4305,2776,2416
30300,4356,2798,2406
30400,4403,2770,2384
30500,4388,2789,2456
30600,4347,2805,3045
30700,4378,2799,2323
30800,4508,2819,2296
30900,4416,2883,2334
31000,4500,2867,2617
31100,4512,2877,2370
31200,4614,4287,2376
31300,4468,2921,2378
31400,4541,2957,2364
31500,4587,2870,2412
31600,4584,2904,2424
31700,4596,2999,2437
31800,4519,3413,2430
31900,4547,2937,2396
32000,4615,2943,2399
32100,4532,2962,2471
32200,4605,2939,2443
32300,4621,2993,2483
32400,4644,3055,2496
32500,4652,2977,2511
32600,4767,3116,2513
32700,4773,3073,2478
32800,4718,2994,2553
32900,4680,3036,2554
33000,4757,3026,2520
33100,4728,3001,2601
33200,4773,3190,2522
33300,4784,3139,2561
33400,4810,3119,2598
33500,5080,3150,2641
33600,4891,3120,2580
33700,4816,3086,2541
33800,4894,3150,2562
33900,4865,3234,2863
34000,4830,3158,2602
34100,4916,3231,2612
34200,6429,3211,2666
34300,4920,3223,2700
34400,4933,3361,2649
34500,4959,3269,2678
34600,4919,3353,2642
34700,4908,3462,2634
34800,4964,3243,2640
34900,5124,3329,2633
35000,5078,3381,2703
35100,5019,3406,2740
35200,5210,3300,2729
35300,5028,3313,2715
35400,5236,3414,2762
35500,5262,3570,2832
35600,5281,3505,2760
35700,5208,3443,2756
35800,5095,3523,2769
35900,5193,3512,2868
36000,5210,3480,2799
36100,5333,3588,2883
36200,5333,3651,2901
36300,5335,3837,2893
36400,5309,3626,2878
36500,5311,3556,2848
36600,5334,3679,2838
36700,5342,3575,2858
36800,5349,3629,2849
36900,5327,3679,2817
37000,5326,3653,2891
37100,5394,3826,2918
37200,5581,3770,2928
37300,5428,3745,3053
37400,5445,3696,2966
37500,5436,3786,2969
37600,5454,3725,2978
37700,5483,3922,2993
37800,5517,3894,3285
37900,5568,3833,2919
38000,5579,3829,2946
38100,5437,3836,3084
38200,5601,3872,3006
38300,5611,3993,3130
38400,5443,3840,3011
38500,5525,3937,3055
38600,5693,3918,2976
38700,5649,3916,3140
38800,5629,3892,3002
38900,5654,4052,3059
39000,5612,4071,3031
39100,5665,3926,3158
39200,5718,4073,3160
39300,5914,4095,3098
39400,5711,4067,3099
39500,5796,4155,3215
39600,5860,4062,3065
39700,5834,4073,3604
39800,5702,4095,3171
39900,5666,4261,3260
40000,5788,4110,3093
40100,5841,4245,3182
40200,5810,4188,3166
40300,5774,4301,3430
40400,5802,4254,3187
40500,5777,4469,3198
40600,5864,4227,3210
40700,6015,4296,3281
40800,5819,4191,3254
40900,5813,4223,3509
41000,5926,4247,3313
41100,6048,4380,3422
41200,5896,4202,3252
41300,6010,4547,3340
41400,6004,4372,3346
41500,6239,4230,3286
41600,6082,4453,3353
41700,6137,4378,3296
41800,6047,4248,3246
41900,6297,4305,3331
42000,6183,4398,3408
42100,6093,4368,3315
42200,6080,4392,4005
42300,6455,4754,3442
42400,6230,4432,3389
42500,6192,4268,3415
42600,6171,4396,3477
42700,6265,4433,3410
42800,6312,4389,3426
42900,6476,4497,3499
43000,6413,4508,3433
43100,7806,4449,3366
43200,6211,4381,3486
43300,6509,4528,3491
43400,6231,4567,3605
43500,7352,4504,3469
43600,6466,4724,3617
43700,6503,4556,3588
43800,6438,4494,3536
43900,7254,4925,3520
44000,6449,4526,3574
44100,6333,4555,3594
44200,6410,4623,3556
44300,6520,4521,3590
44400,6374,4539,3561
44500,6482,4606,3704
44600,6511,4584,3601
44700,6508,4570,3671
44800,6501,4565,3650
44900,6698,4706,3615
45000,6638,4823,3693
45100,6686,4693,3773
45200,6534,4563,3709
45300,6577,4638,3723
45400,6655,4642,3754
45500,6720,4874,3772
45600,6570,4764,3718
45700,7296,5203,4175
45800,6672,4671,3750
45900,6795,4655,3777
46000,6843,4938,3791
46100,6835,4902,3799
46200,6700,4804,3723
46300,6929,4842,3842
46400,6712,4840,3885
46500,6908,4876,3866
46600,6832,4793,4070
46700,6889,4878,3877
46800,6855,4719,3799
46900,6998,4809,3991
47000,6809,4785,3856
47100,7194,4798,3919
47200,6889,5081,3948
47300,6982,4972,4170
47400,6943,4936,3925
47500,7123,4924,3904
47600,7027,4963,3969
47700,7125,4873,3925
47800,6824,4860,3944
47900,7226,4871,3974
48000,6980,4920,4274
48100,6986,4882,4159
48200,6944,4981,4012
48300,7075,4876,4114
48400,7025,4922,4047
48500,7027,4987,4004
48600,7132,4988,4199
48700,7225,4950,4207
48800,7175,4907,4048
48900,7261,4993,4101
49000,7110,5162,4152
49100,7131,4963,4110
49200,7068,4998,4144
49300,7203,4964,4172
